,name,studio,domestic_gross_x,foreign_gross,year,movie_id,original_title_x,start_year,runtime_minutes,genres,Unnamed: 0,genre_ids,id_x,original_language,original_title_y,popularity,release_date_x,vote_average,vote_count,id_y,release_date_y,production_budget,domestic_gross_y,worldwide_gross
55,The Social Network,Sony,97000000.0,128000000,2010,tt1285016,The Social Network,2010,120.0,"Biography,Drama",29,[18],37799,en,The Social Network,15.889,2010-10-01,7.2,6116,91,"Oct 1, 2010","$40,000,000","$96,962,694","$224,922,135"
56,Valentine's Day,WB (NL),110500000.0,106000000,2010,tt0817230,Valentine's Day,2010,125.0,"Comedy,Romance",99,"[35, 10749]",32856,en,Valentine's Day,11.187,2010-02-11,5.8,1907,70,"Feb 12, 2010","$52,000,000","$110,485,654","$217,569,328"
57,The Sorcerer's Apprentice,BV,63200000.0,152100000,2010,tt0963966,The Sorcerer's Apprentice,2010,109.0,"Action,Adventure,Family",40,"[14, 12, 28, 35, 18]",27022,en,The Sorcerer's Apprentice,14.463,2010-07-13,5.9,2879,44,"Jul 14, 2010","$160,000,000","$63,150,991","$217,986,320"
58,Due Date,WB,100500000.0,111200000,2010,tt1231583,Due Date,2010,95.0,"Adventure,Comedy",72,"[35, 18]",41733,en,Due Date,12.445,2010-11-04,6.3,2973,84,"Nov 5, 2010","$65,000,000","$100,539,043","$211,739,043"
59,Eat Pray Love,Sony,80600000.0,124000000,2010,tt0879870,Eat Pray Love,2010,133.0,"Drama,Romance",136,[18],38167,en,Eat Pray Love,9.991,2010-08-12,6.0,1208,67,"Aug 13, 2010","$60,000,000","$80,574,010","$206,598,789"
60,Yogi Bear,WB,100200000.0,101300000,2010,tt1302067,Yogi Bear,2010,80.0,"Adventure,Animation,Comedy",173,"[35, 10751, 16, 12]",41515,en,Yogi Bear,9.096,2010-12-17,5.3,387,62,"Dec 17, 2010","$80,000,000","$100,246,011","$204,774,690"
61,Red,Sum.,90400000.0,108600000,2010,tt2181948,Red,2014,,Thriller,13867,[],409647,en,Red,0.6,2014-01-01,5.0,1,63,"Oct 15, 2010","$60,000,000","$90,380,162","$196,439,693"
62,Red,Sum.,90400000.0,108600000,2010,tt2294785,Red,2012,26.0,"Biography,Documentary,Drama",13867,[],409647,en,Red,0.6,2014-01-01,5.0,1,63,"Oct 15, 2010","$60,000,000","$90,380,162","$196,439,693"
63,Red,Sum.,90400000.0,108600000,2010,tt4136848,Red,2014,82.0,"Documentary,History",13867,[],409647,en,Red,0.6,2014-01-01,5.0,1,63,"Oct 15, 2010","$60,000,000","$90,380,162","$196,439,693"
64,Red,Sum.,90400000.0,108600000,2010,tt4170206,Red,2014,107.0,Drama,13867,[],409647,en,Red,0.6,2014-01-01,5.0,1,63,"Oct 15, 2010","$60,000,000","$90,380,162","$196,439,693"
65,Red,Sum.,90400000.0,108600000,2010,tt8851190,Red,2018,90.0,Drama,13867,[],409647,en,Red,0.6,2014-01-01,5.0,1,63,"Oct 15, 2010","$60,000,000","$90,380,162","$196,439,693"
66,Paranormal Activity 2,Par.,84800000.0,92800000,2010,tt1536044,Paranormal Activity 2,2010,91.0,Horror,228,"[27, 53]",41436,en,Paranormal Activity 2,8.163,2010-10-21,5.7,1342,65,"Oct 20, 2010","$3,000,000","$84,752,907","$177,512,032"
67,The A-Team,Fox,77200000.0,100000000,2010,tt0429493,The A-Team,2010,117.0,"Action,Adventure,Thriller",24,"[53, 28, 12, 35, 80]",34544,en,The A-Team,17.097,2010-06-11,6.3,2703,32,"Jun 11, 2010","$110,000,000","$77,222,099","$177,241,171"
68,The Other Guys,Sony,119200000.0,51200000,2010,tt1386588,The Other Guys,2010,107.0,"Action,Comedy,Crime",51,"[28, 35, 80]",27581,en,The Other Guys,13.508,2010-08-06,6.2,2187,74,"Aug 6, 2010","$100,000,000","$119,219,978","$170,936,470"
69,Unstoppable,Fox,81600000.0,86200000,2010,tt0477080,Unstoppable,2010,98.0,"Action,Thriller",46,"[28, 53]",44048,en,Unstoppable,14.01,2010-11-12,6.4,1913,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
70,Unstoppable,Fox,81600000.0,86200000,2010,tt0477080,Unstoppable,2010,98.0,"Action,Thriller",10970,[99],217664,en,Unstoppable,0.6,2013-09-24,1.6,4,19,"Nov 12, 2010","$95,000,000","$81,562,942","$165,720,921"
