title,studio,domestic_gross,foreign_gross,year,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
the pirates! band of misfits,Sony,31100000.0,92000000,2012,tt1430626,the pirates! band of misfits,the pirates! in an adventure with scientists!,2012,88.0,"adventure,animation,comedy",6.7,41958
parental guidance,Fox,77300000.0,42500000,2012,tt1047540,parental guidance,parental guidance,2012,105.0,"comedy,family",6.1,23711
abraham lincoln: vampire hunter,Fox,37500000.0,79000000,2012,tt1611224,abraham lincoln: vampire hunter,abraham lincoln: vampire hunter,2012,105.0,"action,fantasy,horror",5.9,142853
pitch perfect,Uni.,65000000.0,50300000,2012,tt1981677,pitch perfect,pitch perfect,2012,112.0,"comedy,music,romance",7.2,256565
hope springs,Sony,63500000.0,50700000,2012,tt1535438,hope springs,hope springs,2012,100.0,"comedy,drama,romance",6.3,38667
paranorman,Focus,56000000.0,51100000,2012,tt1623288,paranorman,paranorman,2012,92.0,"adventure,animation,comedy",7.0,87250
the campaign,WB,86900000.0,18000000,2012,tt1790886,the campaign,the campaign,2012,85.0,comedy,6.1,118678
let the bullets fly,Vari.,63000.0,104300000,2012,tt1533117,let the bullets fly,rang zi dan fei,2010,132.0,"action,comedy,western",7.4,8234
project x,WB,54700000.0,48000000,2012,tt1636826,project x,project x,2012,88.0,comedy,6.7,177782
the devil inside,Par.,53300000.0,48500000,2012,tt1560985,the devil inside,the devil inside,2012,83.0,horror,4.2,33522
the lucky one,WB,60500000.0,38900000,2012,tt1327194,the lucky one,the lucky one,2012,101.0,"drama,romance",6.5,94359
contraband,Uni.,66500000.0,29700000,2012,tt1524137,contraband,contraband,2012,109.0,"action,crime,drama",6.5,111709
think like a man,SGem,91500000.0,4500000,2012,tt1621045,think like a man,think like a man,2012,122.0,"comedy,romance",6.6,41043
this is 40,Uni.,67500000.0,20500000,2012,tt1758830,this is 40,this is 40,2012,134.0,"comedy,romance",6.2,118862
the inbetweeners movie,WHE,36000.0,88000000,2012,tt1716772,the inbetweeners movie,the inbetweeners movie,2011,97.0,comedy,6.8,73217
the possession,LGF,49100000.0,36300000,2012,tt0431021,the possession,the possession,2012,92.0,"horror,mystery,thriller",5.9,53649
what to expect when you're expecting,LGF,41200000.0,43200000,2012,tt1586265,what to expect when you're expecting,what to expect when you're expecting,2012,110.0,"comedy,drama,romance",5.7,65890
the thieves,WGUSA,686000.0,82800000,2012,tt2330866,the thieves,dodookdeul,2012,135.0,"action,comedy,crime",6.8,8044
frankenweenie,BV,35300000.0,46200000,2012,tt1142977,frankenweenie,frankenweenie,2012,87.0,"animation,comedy,family",7.0,89489
act of valor,Rela.,70000000.0,11300000,2012,tt1591479,act of valor,act of valor,2012,110.0,"action,adventure,drama",6.5,63787
sinister,LG/S,48100000.0,29600000,2012,tt1922777,sinister,sinister,2012,110.0,"horror,mystery,thriller",6.8,198345
the grey,ORF,51600000.0,25700000,2012,tt1601913,the grey,the grey,2011,117.0,"action,adventure,drama",6.8,228798
diary of a wimpy kid: dog days,Fox,49000000.0,28100000,2012,tt2023453,diary of a wimpy kid: dog days,diary of a wimpy kid: dog days,2012,94.0,"comedy,family",6.3,19571
to rome with love,SPC,16700000.0,56600000,2012,tt1859650,to rome with love,to rome with love,2012,112.0,"comedy,music,romance",6.3,79381
here comes the boom,Sony,45300000.0,27800000,2012,tt1648179,here comes the boom,here comes the boom,2012,105.0,"action,comedy,sport",6.4,81761
anna karenina,Focus,12800000.0,56100000,2012,tt1781769,anna karenina,anna karenina,2012,129.0,"drama,romance",6.6,84668
the watch,Fox,35400000.0,32900000,2012,tt1298649,the watch,the watch,2012,102.0,"action,comedy,horror",5.7,115757
moonrise kingdom,Focus,45500000.0,22800000,2012,tt1748122,moonrise kingdom,moonrise kingdom,2012,94.0,"adventure,comedy,drama",7.8,291750
