movie_id,primary_title,original_title,start_year,runtime_minutes,genres,averagerating,numvotes
tt0816711,world war z,world war z,2013,116,"action,adventure,horror",7.0,553751
tt0817230,valentine's day,valentine's day,2010,125,"comedy,romance",5.7,107171
tt0817545,the power of few,the power of few,2013,96,"action,crime,drama",5.2,3322
tt0818098,dreamkiller,dreamkiller,2010,110,thriller,4.9,105
tt0821486,manhattan minutiae,manhattan minutiae,2016,99,"comedy,music,romance",5.6,19
tt0822847,priest,priest,2011,87,"action,adventure,fantasy",5.7,108320
tt0825282,the long falling,où va la nuit,2011,105,drama,6.5,121
tt0825283,maximum ride,maximum ride,2016,88,"action,adventure,comedy",3.7,3913
tt0825334,caravaggio and my mother the pope,caravaggio and my mother the pope,2018,90,"comedy,drama",8.9,51
tt0829150,dracula untold,dracula untold,2014,92,"action,drama,fantasy",6.3,164829
tt0829176,gallowwalkers,gallowwalkers,2012,90,"action,horror,thriller",3.6,6793
tt0831280,waking madison,waking madison,2010,89,drama,6.0,1317
tt0831387,godzilla,godzilla,2014,123,"action,adventure,sci-fi",6.4,350687
tt0835418,the babymakers,the babymakers,2012,95,comedy,5.0,8147
tt0835775,electric slide,electric slide,2014,95,"action,biography,crime",4.6,701
tt0835802,krystal,krystal,2017,90,"comedy,drama",5.3,846
tt0837156,pee-wee's big holiday,pee-wee's big holiday,2016,90,"adventure,comedy,family",6.2,6362
tt0837562,hotel transylvania,hotel transylvania,2012,91,"animation,comedy,family",7.1,204571
tt0837563,pet sematary,pet sematary,2019,101,"horror,mystery,thriller",6.0,34472
tt0839742,bhopal: a prayer for rain,bhopal: a prayer for rain,2014,96,drama,7.3,1830
tt0840358,everyday sunshine: the story of fishbone,everyday sunshine: the story of fishbone,2010,107,"documentary,music",7.6,321
tt0841185,whatever happened to pete blaggit?,whatever happened to pete blaggit?,2012,94,"comedy,sci-fi",6.6,50
tt0842926,the kids are all right,the kids are all right,2010,106,"comedy,drama,romance",7.0,120656
tt0844866,killer by nature,killer by nature,2010,94,"adventure,crime,drama",3.9,257
tt0844915,pox,pox,2011,100,"comedy,sci-fi",7.5,56
tt0846004,gangster exchange,gangster exchange,2010,95,action,4.6,436
tt0847215,neowolf,neowolf,2010,88,"horror,thriller",2.3,418
tt0847825,the speed of thought,the speed of thought,2011,93,"sci-fi,thriller",4.8,1503
tt0848228,the avengers,the avengers,2012,143,"action,adventure,sci-fi",8.1,1183655
tt0848537,epic,epic,2013,102,"adventure,animation,family",6.7,95318
tt0848554,the sighting,travis,2016,98,"horror,sci-fi,thriller",3.8,747
tt0850247,amsteroid,amsteroid,2018,98,sci-fi,5.6,13
tt0850677,jack & diane,jack & diane,2012,110,"drama,horror,romance",4.5,2538
tt0850678,jackson arms,jackson arms,2015,90,romance,6.1,15
tt0856796,kolorádó kid,kolorádó kid,2010,111,"drama,romance",6.0,135
tt0857190,the sweeney,the sweeney,2012,112,"action,crime,drama",6.1,18095
tt0858419,bolden,bolden,2019,108,drama,5.4,202
tt0859635,super troopers 2,super troopers 2,2018,99,"comedy,crime,mystery",6.1,20104
tt0860907,evangelion: 3.0 you can (not) redo,evangerion shin gekijôban: kyu,2012,96,"action,animation,drama",7.0,8215
tt0861747,zenitram,zenitram,2010,103,"action,adventure,comedy",4.7,91
tt0862748,lupin the 3rd,rupan sansei,2014,133,"action,adventure,comedy",5.6,1288
tt0862930,dukun,dukun,2018,108,"horror,thriller",6.9,307
tt0864835,mr. peabody & sherman,mr. peabody & sherman,2014,92,"adventure,animation,comedy",6.8,57277
tt0865561,6 month rule,6 month rule,2011,100,comedy,4.9,595
tt0865911,catharsis,katharsis,2011,89,mystery,6.6,11
tt0872230,my soul to take,my soul to take,2010,107,"horror,mystery,thriller",4.8,18381
tt0873886,red state,red state,2011,88,"action,crime,horror",6.2,59266
tt0874426,the secret philosophy,the secret philosophy,2010,90,thriller,7.6,15
tt0875702,bury the hatchet,bury the hatchet,2010,120,documentary,8.6,14
tt0878814,jewtopia,jewtopia,2012,90,"comedy,romance",4.5,1342
tt0878835,please give,please give,2010,87,"comedy,drama",6.6,10652
tt0879870,eat pray love,eat pray love,2010,133,"drama,romance",5.8,77709
tt0880569,mama i want to sing,mama i want to sing,2011,100,musical,5.0,282
tt0881320,sanctum,sanctum,2011,108,"adventure,drama,thriller",5.9,51318
tt0882741,air: the musical,air: the musical,2010,100,"comedy,musical,romance",7.2,59
tt0882977,snitch,snitch,2013,112,"action,drama,thriller",6.5,78142
tt0884214,wreckage,wreckage,2010,87,"horror,thriller",4.3,1045
tt0884726,legends of oz: dorothy's return,legends of oz: dorothy's return,2013,88,"adventure,animation,family",5.5,5351
tt0884732,the wedding ringer,the wedding ringer,2015,101,comedy,6.7,66893
tt0887143,hyenas,hyenas,2011,92,horror,2.8,952
tt0887161,repo,repo,2010,97,"comedy,drama",4.5,215
tt0887751,honor,kavod,2010,118,"crime,drama,thriller",5.6,29
tt0889573,the switch,the switch,2010,101,"comedy,drama,romance",6.1,90661
tt0892062,hamlet a.d.d.,hamlet a.d.d.,2014,95,"animation,comedy,fantasy",7.1,78
tt0892077,gun of the black sun,gun of the black sun,2011,90,fantasy,6.1,68
tt0892318,letters to juliet,letters to juliet,2010,105,"adventure,comedy,drama",6.6,86137
tt0892769,how to train your dragon,how to train your dragon,2010,98,"action,adventure,animation",8.1,611299
tt0892791,shrek forever after,shrek forever after,2010,93,"adventure,animation,comedy",6.3,167532
tt0893310,blur,blur,2011,90,"drama,mystery,thriller",7.0,33
tt0893412,from prada to nada,from prada to nada,2011,107,"comedy,drama,romance",5.6,13644
tt0896872,the whistleblower,the whistleblower,2010,112,"action,biography,crime",7.2,29826
tt0899145,don't fade away,don't fade away,2010,89,drama,5.4,302
tt0900387,suite française,suite française,2014,107,"drama,romance,war",7.0,19978
tt0901504,psych:9,psych:9,2010,98,"horror,mystery,thriller",4.5,2072
tt0903036,westbrick murders,westbrick murders,2010,90,"action,crime,thriller",2.7,351
tt0903624,the hobbit: an unexpected journey,the hobbit: an unexpected journey,2012,169,"adventure,family,fantasy",7.9,719629
tt0903657,love & mercy,love & mercy,2014,121,"biography,drama,music",7.4,32238
tt0905372,the thing,the thing,2011,103,"horror,mystery,sci-fi",6.2,111900
tt0906778,black butterflies,black butterflies,2011,100,"biography,drama",6.2,1941
tt0907731,eager to die,eager to die,2010,109,"drama,thriller",5.0,13
tt0910885,a merry friggin' christmas,a merry friggin' christmas,2014,88,comedy,5.1,5415
tt0910926,movin' in,movin' in,2010,95,"comedy,romance",7.0,41
tt0914863,unthinkable,unthinkable,2010,97,"crime,drama,thriller",7.1,80152
tt0915463,jackboots on whitehall,jackboots on whitehall,2010,91,"animation,comedy,sci-fi",5.3,1178
tt0918575,victim,victim,2010,90,"horror,thriller",6.0,4113
tt0918940,the legend of tarzan,the legend of tarzan,2016,110,"action,adventure,drama",6.3,150154
tt0920459,the happy housewife,de gelukkige huisvrouw,2010,100,"comedy,drama,romance",6.7,2642
tt0923653,the dead undead,the dead undead,2010,89,"action,horror,sci-fi",3.0,791
tt0924266,pizza with bullets,pizza with bullets,2010,99,comedy,8.3,36
tt0926084,harry potter and the deathly hallows: part 1,harry potter and the deathly hallows: part 1,2010,146,"adventure,fantasy,mystery",7.7,425530
tt0926132,road to red,road to red,2016,120,"action,adventure,horror",6.7,369
tt0926170,white men can't dance,white men can't dance,2012,105,"drama,family",4.3,46
tt0929618,the penthouse,the penthouse,2010,89,comedy,3.7,1345
tt0933876,june 9,june 9,2018,95,"horror,mystery,thriller",4.6,317
tt0935075,rabbit hole,rabbit hole,2010,91,drama,7.0,45357
tt0937225,joe dick,joe dick,2017,96,comedy,5.5,27
tt0937353,the devil's flower,tsvetok dyavola,2010,90,"mystery,romance",1.7,201
tt0938283,the last airbender,the last airbender,2010,103,"action,adventure,family",4.1,137734
tt0938305,freaky deaky,freaky deaky,2012,90,"comedy,crime,thriller",6.1,6088
tt0938330,silent hill: revelation,silent hill: revelation,2012,95,horror,5.0,56832
tt0940656,arthur 3: the war of the two worlds,arthur 3: la guerre des deux mondes,2010,101,"adventure,animation,family",5.5,7162
tt0942906,white knuckles,white knuckles,2010,88,"drama,thriller",6.3,77
tt0944835,salt,salt,2010,100,"action,mystery,thriller",6.4,277204
tt0945513,source code,source code,2011,93,"action,drama,sci-fi",7.5,452036
tt0947798,black swan,black swan,2010,108,"drama,thriller",8.0,648854
tt0947810,green zone,green zone,2010,115,"action,drama,thriller",6.8,122132
tt0948470,the amazing spider-man,the amazing spider-man,2012,136,"action,adventure,sci-fi",7.0,525632
tt0949872,coffee sex you,coffee sex you,2014,88,drama,6.5,11
tt0954947,the killer inside me,the killer inside me,2010,109,"crime,drama,horror",6.1,31727
tt0959306,reach me,reach me,2014,95,"comedy,crime,drama",4.9,2304
tt0959329,nine dead,nine dead,2010,98,"crime,drama,horror",5.5,11358
tt0960067,heart of now,heart of now,2010,90,drama,6.9,83
tt0961036,avenge,avenge,2014,88,drama,7.4,14
tt0961097,a monster in paris,un monstre à paris,2011,90,"adventure,animation,comedy",6.7,18254
tt0962764,the house of sun,dom solntsa,2010,110,drama,6.5,559
tt0963177,made in romania,made in romania,2010,95,comedy,5.3,231
tt0963966,the sorcerer's apprentice,the sorcerer's apprentice,2010,109,"action,adventure,family",6.1,143862
tt0964517,the fighter,the fighter,2010,116,"biography,drama,sport",7.8,316539
tt0964544,pushin' up daisies,pushin' up daisies,2010,87,comedy,8.1,20
tt0965429,l'imbroglio nel lenzuolo,l'imbroglio nel lenzuolo,2010,105,"comedy,romance",5.0,103
tt0968264,the conspirator,the conspirator,2010,122,"crime,drama,history",6.9,26416
tt0969332,little witch on a broomstick,saxána a lexikon kouzel,2011,90,"animation,comedy,family",3.5,154
tt0969345,strange frame: love & sax,strange frame: love & sax,2012,98,"animation,crime,music",7.0,1498
tt0969653,white wall,white wall,2010,91,"action,mystery,sci-fi",3.8,586
tt0970179,hugo,hugo,2011,126,"adventure,drama,family",7.5,284869
tt0970866,little fockers,little fockers,2010,98,"comedy,romance",5.5,99222
tt0970926,the chosen one,the chosen one,2010,101,"comedy,drama",4.5,2394
tt0972544,back roads,back roads,2018,101,"crime,drama,thriller",7.0,3024
tt0972815,have you heard from johannesburg: fair play,have you heard from johannesburg: fair play,2010,96,documentary,8.9,9
tt0972848,lives and deaths of the poets,lives and deaths of the poets,2011,93,comedy,7.7,6
tt0973809,headhunter: the assessment weekend,headhunter: the assessment weekend,2010,93,"action,thriller",3.4,164
tt0974015,justice league,justice league,2017,120,"action,adventure,fantasy",6.5,329135
tt0974584,black limousine,the land of the astronauts,2010,102,drama,4.9,218
tt0975645,hitchcock,hitchcock,2012,98,"biography,comedy,drama",6.8,68315
tt0975738,sinatra club,sinatra club,2010,88,"action,biography,crime",4.6,343
tt0977639,boyle heights,boyle heights,2010,101,action,4.6,9
tt0977855,fair game,fair game,2010,108,"biography,drama,thriller",6.8,43862
tt0978764,sucker punch,sucker punch,2011,110,"action,adventure,fantasy",6.1,218371
tt0979434,lottery ticket,lottery ticket,2010,99,comedy,5.0,10042
tt0980970,the chronicles of narnia: the voyage of the dawn treader,the chronicles of narnia: the voyage of the dawn treader,2010,113,"adventure,family,fantasy",6.3,129663
tt0981286,funkytown,funkytown,2011,132,"drama,music",6.3,772
tt0983193,the adventures of tintin,the adventures of tintin,2011,107,"action,adventure,animation",7.3,202430
tt0984084,el padrino ii: border intrusion,el padrino ii: border intrusion,2011,90,crime,5.5,40
tt0984210,multiple sarcasms,multiple sarcasms,2010,97,drama,4.9,581
tt0985694,machete,machete,2010,105,"action,crime,thriller",6.6,182320
tt0988655,a flat,a flat,2010,103,"drama,horror,romance",4.7,185
tt0988858,the gainesville ripper,the gainesville ripper,2010,90,horror,6.0,38
tt0989757,dear john,dear john,2010,108,"drama,romance,war",6.3,128657
tt0990407,the green hornet,the green hornet,2011,119,"action,comedy,crime",5.8,148622
tt0993842,hanna,hanna,2011,111,"action,drama,thriller",6.8,179178
tt0993846,the wolf of wall street,the wolf of wall street,2013,180,"biography,crime,drama",8.2,1035358
tt0995845,the courier,the courier,2012,95,"action,crime,drama",4.5,4292
