,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
569,Attack the Block,88.0,Comedy,6.7,en,Attack the Block,9.612,6.4,2011-07-29,13000000.0,6459183.0,SGem,1000000.0,4800000.0
569,Attack the Block,88.0,Sci-Fi,6.7,en,Attack the Block,9.612,6.4,2011-07-29,13000000.0,6459183.0,SGem,1000000.0,4800000.0
570,Oblivion,124.0,Action,7.0,en,Oblivion,18.534,6.5,2013-04-19,120000000.0,287916633.0,Uni.,89100000.0,197100000.0
570,Oblivion,124.0,Adventure,7.0,en,Oblivion,18.534,6.5,2013-04-19,120000000.0,287916633.0,Uni.,89100000.0,197100000.0
570,Oblivion,124.0,Sci-Fi,7.0,en,Oblivion,18.534,6.5,2013-04-19,120000000.0,287916633.0,Uni.,89100000.0,197100000.0
571,Oblivion,116.0,Thriller,8.0,en,Oblivion,18.534,6.5,2013-04-19,120000000.0,287916633.0,Uni.,89100000.0,197100000.0
572,The Greatest Showman,105.0,Biography,7.6,en,The Greatest Showman,22.009,8.0,2017-12-20,84000000.0,386665550.0,Fox,174300000.0,260700000.0
572,The Greatest Showman,105.0,Drama,7.6,en,The Greatest Showman,22.009,8.0,2017-12-20,84000000.0,386665550.0,Fox,174300000.0,260700000.0
572,The Greatest Showman,105.0,Musical,7.6,en,The Greatest Showman,22.009,8.0,2017-12-20,84000000.0,386665550.0,Fox,174300000.0,260700000.0
574,Red Riding Hood,100.0,Fantasy,5.5,en,Red Riding Hood,11.856,5.9,2011-03-11,42000000.0,91678442.0,WB,37700000.0,51500000.0
574,Red Riding Hood,100.0,Horror,5.5,en,Red Riding Hood,11.856,5.9,2011-03-11,42000000.0,91678442.0,WB,37700000.0,51500000.0
574,Red Riding Hood,100.0,Mystery,5.5,en,Red Riding Hood,11.856,5.9,2011-03-11,42000000.0,91678442.0,WB,37700000.0,51500000.0
575,The Raven,110.0,Crime,6.4,en,The Raven,0.6,5.9,2012-04-27,26000000.0,30601801.0,Rela.,16000000.0,13600000.0
575,The Raven,110.0,Mystery,6.4,en,The Raven,0.6,5.9,2012-04-27,26000000.0,30601801.0,Rela.,16000000.0,13600000.0
575,The Raven,110.0,Thriller,6.4,en,The Raven,0.6,5.9,2012-04-27,26000000.0,30601801.0,Rela.,16000000.0,13600000.0
576,The Raven,110.0,Crime,6.4,en,The Raven,8.635,6.3,2012-04-27,26000000.0,30601801.0,Rela.,16000000.0,13600000.0
