,primary_title,runtime_minutes,genres,averagerating,original_language,original_title,popularity,vote_average,release_date,production_budget,worldwide_gross,studio,domestic_gross,foreign_gross
1026,The Sessions,95.0,Biography,7.2,en,The Sessions,6.46,6.9,2012-10-19,1000000.0,11495204.0,FoxS,6000000.0,3100000.0
1026,The Sessions,95.0,Comedy,7.2,en,The Sessions,6.46,6.9,2012-10-19,1000000.0,11495204.0,FoxS,6000000.0,3100000.0
1026,The Sessions,95.0,Drama,7.2,en,The Sessions,6.46,6.9,2012-10-19,1000000.0,11495204.0,FoxS,6000000.0,3100000.0
1027,The East,116.0,Adventure,6.8,en,The East,8.044,6.6,2013-05-31,6500000.0,3027956.0,FoxS,2300000.0,99700.0
1027,The East,116.0,Drama,6.8,en,The East,8.044,6.6,2013-05-31,6500000.0,3027956.0,FoxS,2300000.0,99700.0
1027,The East,116.0,Thriller,6.8,en,The East,8.044,6.6,2013-05-31,6500000.0,3027956.0,FoxS,2300000.0,99700.0
1028,Won't Back Down,121.0,Drama,6.4,en,Won't Back Down,6.14,6.3,2012-09-28,19000000.0,5745503.0,Fox,5300000.0,
1029,Won't Back Down,121.0,Drama,6.4,en,Won't Back Down,0.938,6.2,2012-09-28,19000000.0,5745503.0,Fox,5300000.0,
1030,Won't Back Down,114.0,Sport,7.9,en,Won't Back Down,6.14,6.3,2012-09-28,19000000.0,5745503.0,Fox,5300000.0,
1031,Won't Back Down,114.0,Sport,7.9,en,Won't Back Down,0.938,6.2,2012-09-28,19000000.0,5745503.0,Fox,5300000.0,
1032,The Amazing Spider-Man 2,142.0,Action,6.6,en,The Amazing Spider-Man 2,20.847,6.4,2014-05-02,200000000.0,708996336.0,Sony,202900000.0,506100000.0
1032,The Amazing Spider-Man 2,142.0,Adventure,6.6,en,The Amazing Spider-Man 2,20.847,6.4,2014-05-02,200000000.0,708996336.0,Sony,202900000.0,506100000.0
1032,The Amazing Spider-Man 2,142.0,Sci-Fi,6.6,en,The Amazing Spider-Man 2,20.847,6.4,2014-05-02,200000000.0,708996336.0,Sony,202900000.0,506100000.0
1033,The Judge,141.0,Crime,7.4,en,The Judge,16.464000000000002,7.3,2014-10-10,50000000.0,76119388.0,WB,47100000.0,37300000.0
1033,The Judge,141.0,Drama,7.4,en,The Judge,16.464000000000002,7.3,2014-10-10,50000000.0,76119388.0,WB,47100000.0,37300000.0
1034,The Judge,141.0,Crime,7.4,en,The Judge,0.6,7.5,2014-10-10,50000000.0,76119388.0,WB,47100000.0,37300000.0
1034,The Judge,141.0,Drama,7.4,en,The Judge,0.6,7.5,2014-10-10,50000000.0,76119388.0,WB,47100000.0,37300000.0
1035,The Judge,76.0,Documentary,7.3,en,The Judge,16.464000000000002,7.3,2014-10-10,50000000.0,76119388.0,WB,47100000.0,37300000.0
1036,The Judge,76.0,Documentary,7.3,en,The Judge,0.6,7.5,2014-10-10,50000000.0,76119388.0,WB,47100000.0,37300000.0
1037,X-Men: Days of Future Past,132.0,Action,8.0,en,X-Men: Days of Future Past,41.867,7.5,2014-05-23,200000000.0,747862775.0,Fox,233900000.0,513900000.0
1037,X-Men: Days of Future Past,132.0,Adventure,8.0,en,X-Men: Days of Future Past,41.867,7.5,2014-05-23,200000000.0,747862775.0,Fox,233900000.0,513900000.0
1037,X-Men: Days of Future Past,132.0,Sci-Fi,8.0,en,X-Men: Days of Future Past,41.867,7.5,2014-05-23,200000000.0,747862775.0,Fox,233900000.0,513900000.0
1038,The Darkness,92.0,Horror,4.4,en,The Darkness,8.357000000000001,4.8,2016-05-13,4000000.0,10898293.0,BH Tilt,10800000.0,
1038,The Darkness,92.0,Thriller,4.4,en,The Darkness,8.357000000000001,4.8,2016-05-13,4000000.0,10898293.0,BH Tilt,10800000.0,
1039,The Darkness,92.0,Thriller,5.7,en,The Darkness,8.357000000000001,4.8,2016-05-13,4000000.0,10898293.0,BH Tilt,10800000.0,
1040,The Edge of Seventeen,104.0,Comedy,7.3,en,The Edge of Seventeen,11.546,7.2,2016-11-18,9000000.0,19096003.0,STX,14400000.0,4400000.0
1040,The Edge of Seventeen,104.0,Drama,7.3,en,The Edge of Seventeen,11.546,7.2,2016-11-18,9000000.0,19096003.0,STX,14400000.0,4400000.0
1042,Maggie,95.0,Drama,5.6,en,Maggie,13.0,5.3,2015-05-08,4500000.0,1027760.0,RAtt.,187000.0,
1042,Maggie,95.0,Horror,5.6,en,Maggie,13.0,5.3,2015-05-08,4500000.0,1027760.0,RAtt.,187000.0,
1043,Maggie,88.0,Drama,6.4,en,Maggie,13.0,5.3,2015-05-08,4500000.0,1027760.0,RAtt.,187000.0,
1044,Spotlight,129.0,Crime,8.1,en,Spotlight,16.354,7.8,2015-11-06,20000000.0,92088460.0,ORF,45100000.0,53200000.0
1044,Spotlight,129.0,Drama,8.1,en,Spotlight,16.354,7.8,2015-11-06,20000000.0,92088460.0,ORF,45100000.0,53200000.0
1046,Spotlight,129.0,Crime,8.1,en,Spotlight,0.6,10.0,2015-11-06,20000000.0,92088460.0,ORF,45100000.0,53200000.0
1046,Spotlight,129.0,Drama,8.1,en,Spotlight,0.6,10.0,2015-11-06,20000000.0,92088460.0,ORF,45100000.0,53200000.0
1047,Spotlight,99.0,Drama,8.0,en,Spotlight,16.354,7.8,2015-11-06,20000000.0,92088460.0,ORF,45100000.0,53200000.0
1049,Spotlight,99.0,Drama,8.0,en,Spotlight,0.6,10.0,2015-11-06,20000000.0,92088460.0,ORF,45100000.0,53200000.0
1050,Parker,118.0,Action,6.2,en,Parker,14.95,5.8,2013-01-25,35000000.0,48543388.0,FD,17600000.0,28600000.0
1050,Parker,118.0,Crime,6.2,en,Parker,14.95,5.8,2013-01-25,35000000.0,48543388.0,FD,17600000.0,28600000.0
1050,Parker,118.0,Thriller,6.2,en,Parker,14.95,5.8,2013-01-25,35000000.0,48543388.0,FD,17600000.0,28600000.0
1051,Flight,138.0,Drama,7.3,en,Flight,11.692,6.7,2012-11-02,31000000.0,160558438.0,Par.,93800000.0,68000000.0
1051,Flight,138.0,Thriller,7.3,en,Flight,11.692,6.7,2012-11-02,31000000.0,160558438.0,Par.,93800000.0,68000000.0
1052,The Call,94.0,Crime,6.7,en,The Call,11.315,6.7,2013-03-15,12800000.0,69821476.0,TriS,51900000.0,16700000.0
1052,The Call,94.0,Drama,6.7,en,The Call,11.315,6.7,2013-03-15,12800000.0,69821476.0,TriS,51900000.0,16700000.0
1052,The Call,94.0,Horror,6.7,en,The Call,11.315,6.7,2013-03-15,12800000.0,69821476.0,TriS,51900000.0,16700000.0
1053,The Call,25.0,Documentary,7.9,en,The Call,11.315,6.7,2013-03-15,12800000.0,69821476.0,TriS,51900000.0,16700000.0
1054,The Call,109.0,Thriller,6.6,en,The Call,11.315,6.7,2013-03-15,12800000.0,69821476.0,TriS,51900000.0,16700000.0
1055,Penguins of Madagascar,92.0,Adventure,6.7,en,Penguins of Madagascar,20.899,6.4,2014-11-26,132000000.0,366942531.0,Fox,83400000.0,289700000.0
1055,Penguins of Madagascar,92.0,Animation,6.7,en,Penguins of Madagascar,20.899,6.4,2014-11-26,132000000.0,366942531.0,Fox,83400000.0,289700000.0
1055,Penguins of Madagascar,92.0,Comedy,6.7,en,Penguins of Madagascar,20.899,6.4,2014-11-26,132000000.0,366942531.0,Fox,83400000.0,289700000.0
1056,Magic Mike,110.0,Comedy,6.1,en,Magic Mike,13.7,6.1,2012-06-29,7000000.0,170549753.0,WB,113700000.0,53500000.0
1056,Magic Mike,110.0,Drama,6.1,en,Magic Mike,13.7,6.1,2012-06-29,7000000.0,170549753.0,WB,113700000.0,53500000.0
1057,Bachelorette,87.0,Comedy,5.3,en,Bachelorette,7.05,5.4,2012-09-07,3000000.0,12577401.0,RTWC,448000.0,11500000.0
1057,Bachelorette,87.0,Romance,5.3,en,Bachelorette,7.05,5.4,2012-09-07,3000000.0,12577401.0,RTWC,448000.0,11500000.0
1058,Pompeii,105.0,Action,5.5,en,Pompeii,25.215,5.4,2014-02-21,80000000.0,108469033.0,TriS,23200000.0,94600000.0
1058,Pompeii,105.0,Adventure,5.5,en,Pompeii,25.215,5.4,2014-02-21,80000000.0,108469033.0,TriS,23200000.0,94600000.0
1058,Pompeii,105.0,Drama,5.5,en,Pompeii,25.215,5.4,2014-02-21,80000000.0,108469033.0,TriS,23200000.0,94600000.0
1059,Sinister,110.0,Horror,6.8,en,Sinister,0.6,3.8,2012-10-12,3000000.0,87727807.0,LG/S,48100000.0,29600000.0
1059,Sinister,110.0,Mystery,6.8,en,Sinister,0.6,3.8,2012-10-12,3000000.0,87727807.0,LG/S,48100000.0,29600000.0
1059,Sinister,110.0,Thriller,6.8,en,Sinister,0.6,3.8,2012-10-12,3000000.0,87727807.0,LG/S,48100000.0,29600000.0
1060,Sinister,110.0,Horror,6.8,en,Sinister,13.117,6.8,2012-10-12,3000000.0,87727807.0,LG/S,48100000.0,29600000.0
1060,Sinister,110.0,Mystery,6.8,en,Sinister,13.117,6.8,2012-10-12,3000000.0,87727807.0,LG/S,48100000.0,29600000.0
1060,Sinister,110.0,Thriller,6.8,en,Sinister,13.117,6.8,2012-10-12,3000000.0,87727807.0,LG/S,48100000.0,29600000.0
1061,The Big Wedding,89.0,Comedy,5.6,en,The Big Wedding,11.231,5.8,2013-04-26,32500000.0,48425971.0,LGF,21800000.0,24700000.0
1061,The Big Wedding,89.0,Drama,5.6,en,The Big Wedding,11.231,5.8,2013-04-26,32500000.0,48425971.0,LGF,21800000.0,24700000.0
1061,The Big Wedding,89.0,Romance,5.6,en,The Big Wedding,11.231,5.8,2013-04-26,32500000.0,48425971.0,LGF,21800000.0,24700000.0
1062,Seven Psychopaths,110.0,Comedy,7.2,en,Seven Psychopaths,10.967,6.8,2012-10-12,13500000.0,33035736.0,CBS,15000000.0,4400000.0
1062,Seven Psychopaths,110.0,Crime,7.2,en,Seven Psychopaths,10.967,6.8,2012-10-12,13500000.0,33035736.0,CBS,15000000.0,4400000.0
1063,Mud,130.0,Drama,7.4,en,Mud,12.507,7.0,2013-04-26,10000000.0,31556959.0,RAtt.,21600000.0,11000000.0
1064,Mud,105.0,Drama,6.5,en,Mud,12.507,7.0,2013-04-26,10000000.0,31556959.0,RAtt.,21600000.0,11000000.0
1065,Morgan,89.0,Drama,6.8,en,Morgan,1.111,6.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1065,Morgan,89.0,Romance,6.8,en,Morgan,1.111,6.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1066,Morgan,89.0,Drama,6.8,en,Morgan,9.912,5.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1066,Morgan,89.0,Romance,6.8,en,Morgan,9.912,5.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1067,Morgan,92.0,Action,5.8,en,Morgan,1.111,6.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1067,Morgan,92.0,Horror,5.8,en,Morgan,1.111,6.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1067,Morgan,92.0,Sci-Fi,5.8,en,Morgan,1.111,6.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1068,Morgan,92.0,Action,5.8,en,Morgan,9.912,5.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1068,Morgan,92.0,Horror,5.8,en,Morgan,9.912,5.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1068,Morgan,92.0,Sci-Fi,5.8,en,Morgan,9.912,5.7,2016-09-02,8000000.0,7298786.0,Fox,3900000.0,4900000.0
1069,Begin Again,68.0,Drama,7.0,en,Begin Again,10.828,7.2,2014-06-27,8000000.0,68838736.0,Wein.,16200000.0,47300000.0
1069,Begin Again,68.0,Family,7.0,en,Begin Again,10.828,7.2,2014-06-27,8000000.0,68838736.0,Wein.,16200000.0,47300000.0
1070,Begin Again,104.0,Comedy,7.4,en,Begin Again,10.828,7.2,2014-06-27,8000000.0,68838736.0,Wein.,16200000.0,47300000.0
1070,Begin Again,104.0,Drama,7.4,en,Begin Again,10.828,7.2,2014-06-27,8000000.0,68838736.0,Wein.,16200000.0,47300000.0
1070,Begin Again,104.0,Music,7.4,en,Begin Again,10.828,7.2,2014-06-27,8000000.0,68838736.0,Wein.,16200000.0,47300000.0
1071,The Immigrant,120.0,Drama,6.6,en,The Immigrant,8.145,6.2,2014-05-16,16000000.0,7585011.0,Wein.,2000000.0,3800000.0
1071,The Immigrant,120.0,Romance,6.6,en,The Immigrant,8.145,6.2,2014-05-16,16000000.0,7585011.0,Wein.,2000000.0,3800000.0
1072,The Hunger Games: Catching Fire,146.0,Action,7.5,en,The Hunger Games: Catching Fire,20.187,7.4,2013-11-22,130000000.0,864868047.0,LGF,424700000.0,440300000.0
1072,The Hunger Games: Catching Fire,146.0,Adventure,7.5,en,The Hunger Games: Catching Fire,20.187,7.4,2013-11-22,130000000.0,864868047.0,LGF,424700000.0,440300000.0
1072,The Hunger Games: Catching Fire,146.0,Sci-Fi,7.5,en,The Hunger Games: Catching Fire,20.187,7.4,2013-11-22,130000000.0,864868047.0,LGF,424700000.0,440300000.0
1073,The Hunger Games: Mockingjay - Part 1,123.0,Action,6.6,en,The Hunger Games: Mockingjay - Part 1,33.837,6.8,2014-11-21,125000000.0,766575131.0,LGF,337100000.0,418200000.0
1073,The Hunger Games: Mockingjay - Part 1,123.0,Adventure,6.6,en,The Hunger Games: Mockingjay - Part 1,33.837,6.8,2014-11-21,125000000.0,766575131.0,LGF,337100000.0,418200000.0
1073,The Hunger Games: Mockingjay - Part 1,123.0,Sci-Fi,6.6,en,The Hunger Games: Mockingjay - Part 1,33.837,6.8,2014-11-21,125000000.0,766575131.0,LGF,337100000.0,418200000.0
1074,The Hunger Games: Mockingjay - Part 2,137.0,Action,6.6,en,The Hunger Games: Mockingjay - Part 2,19.487,6.8,2015-11-20,160000000.0,648986787.0,LGF,281700000.0,371700000.0
1074,The Hunger Games: Mockingjay - Part 2,137.0,Adventure,6.6,en,The Hunger Games: Mockingjay - Part 2,19.487,6.8,2015-11-20,160000000.0,648986787.0,LGF,281700000.0,371700000.0
1074,The Hunger Games: Mockingjay - Part 2,137.0,Sci-Fi,6.6,en,The Hunger Games: Mockingjay - Part 2,19.487,6.8,2015-11-20,160000000.0,648986787.0,LGF,281700000.0,371700000.0
1076,Sex Tape,94.0,Comedy,5.1,en,Sex Tape,20.429,5.3,2014-07-18,40000000.0,126069509.0,Sony,38500000.0,87500000.0
1076,Sex Tape,94.0,Romance,5.1,en,Sex Tape,20.429,5.3,2014-07-18,40000000.0,126069509.0,Sony,38500000.0,87500000.0
1077,American Assassin,112.0,Action,6.2,en,American Assassin,15.434,6.3,2017-09-15,63000000.0,68310140.0,LGF,36200000.0,31000000.0
1077,American Assassin,112.0,Thriller,6.2,en,American Assassin,15.434,6.3,2017-09-15,63000000.0,68310140.0,LGF,36200000.0,31000000.0
1078,The House,109.0,Drama,4.6,en,The House,9.62,5.7,2017-06-30,40000000.0,31192425.0,WB (NL),25600000.0,8600000.0
1078,The House,109.0,Mystery,4.6,en,The House,9.62,5.7,2017-06-30,40000000.0,31192425.0,WB (NL),25600000.0,8600000.0
1078,The House,109.0,Thriller,4.6,en,The House,9.62,5.7,2017-06-30,40000000.0,31192425.0,WB (NL),25600000.0,8600000.0
1079,The House,72.0,Animation,7.3,en,The House,9.62,5.7,2017-06-30,40000000.0,31192425.0,WB (NL),25600000.0,8600000.0
1080,The House,90.0,Thriller,4.5,en,The House,9.62,5.7,2017-06-30,40000000.0,31192425.0,WB (NL),25600000.0,8600000.0
1081,The House,88.0,Comedy,5.6,en,The House,9.62,5.7,2017-06-30,40000000.0,31192425.0,WB (NL),25600000.0,8600000.0
1081,The House,88.0,Crime,5.6,en,The House,9.62,5.7,2017-06-30,40000000.0,31192425.0,WB (NL),25600000.0,8600000.0
1082,Tomorrowland,130.0,Action,6.4,en,Tomorrowland,20.136,6.2,2015-05-22,170000000.0,206627518.0,BV,93400000.0,115700000.0
1082,Tomorrowland,130.0,Adventure,6.4,en,Tomorrowland,20.136,6.2,2015-05-22,170000000.0,206627518.0,BV,93400000.0,115700000.0
1082,Tomorrowland,130.0,Family,6.4,en,Tomorrowland,20.136,6.2,2015-05-22,170000000.0,206627518.0,BV,93400000.0,115700000.0
1083,Tomorrowland,70.0,Documentary,6.3,en,Tomorrowland,20.136,6.2,2015-05-22,170000000.0,206627518.0,BV,93400000.0,115700000.0
1084,Father Figures,113.0,Adventure,5.5,en,Father Figures,12.45,5.8,2017-12-22,25000000.0,21038441.0,WB,17500000.0,8100000.0
1084,Father Figures,113.0,Comedy,5.5,en,Father Figures,12.45,5.8,2017-12-22,25000000.0,21038441.0,WB,17500000.0,8100000.0
1084,Father Figures,113.0,Drama,5.5,en,Father Figures,12.45,5.8,2017-12-22,25000000.0,21038441.0,WB,17500000.0,8100000.0
1086,Father Figures,58.0,Documentary,6.8,en,Father Figures,12.45,5.8,2017-12-22,25000000.0,21038441.0,WB,17500000.0,8100000.0
1088,Labor Day,111.0,Drama,6.9,en,Labor Day,9.258,6.9,2014-01-31,18000000.0,14189810.0,Par.,13400000.0,6900000.0
1088,Labor Day,111.0,Romance,6.9,en,Labor Day,9.258,6.9,2014-01-31,18000000.0,14189810.0,Par.,13400000.0,6900000.0
1089,Tag,91.0,Drama,4.6,en,Tag,1.4,4.0,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1090,Tag,91.0,Drama,4.6,en,Tag,18.5,6.8,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1091,Tag,100.0,Comedy,6.5,en,Tag,1.4,4.0,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1092,Tag,100.0,Comedy,6.5,en,Tag,18.5,6.8,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1093,Tag,85.0,Action,6.1,en,Tag,1.4,4.0,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1093,Tag,85.0,Fantasy,6.1,en,Tag,1.4,4.0,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1093,Tag,85.0,Horror,6.1,en,Tag,1.4,4.0,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1094,Tag,85.0,Action,6.1,en,Tag,18.5,6.8,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1094,Tag,85.0,Fantasy,6.1,en,Tag,18.5,6.8,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1094,Tag,85.0,Horror,6.1,en,Tag,18.5,6.8,2018-06-15,28000000.0,77026186.0,WB (NL),54700000.0,23400000.0
1095,Compliance,90.0,Biography,6.4,en,Compliance,6.93,6.4,2012-08-17,270000.0,830700.0,Magn.,319000.0,
1095,Compliance,90.0,Crime,6.4,en,Compliance,6.93,6.4,2012-08-17,270000.0,830700.0,Magn.,319000.0,
1095,Compliance,90.0,Drama,6.4,en,Compliance,6.93,6.4,2012-08-17,270000.0,830700.0,Magn.,319000.0,
1096,A Most Wanted Man,122.0,Crime,6.8,en,A Most Wanted Man,10.267,6.5,2014-07-25,15000000.0,36068890.0,RAtt.,17200000.0,19000000.0
1096,A Most Wanted Man,122.0,Drama,6.8,en,A Most Wanted Man,10.267,6.5,2014-07-25,15000000.0,36068890.0,RAtt.,17200000.0,19000000.0
1096,A Most Wanted Man,122.0,Thriller,6.8,en,A Most Wanted Man,10.267,6.5,2014-07-25,15000000.0,36068890.0,RAtt.,17200000.0,19000000.0
1097,King Arthur: Legend of the Sword,126.0,Action,6.8,en,King Arthur: Legend of the Sword,21.793000000000006,6.5,2017-05-12,175000000.0,139630336.0,WB,39200000.0,109500000.0
1097,King Arthur: Legend of the Sword,126.0,Adventure,6.8,en,King Arthur: Legend of the Sword,21.793000000000006,6.5,2017-05-12,175000000.0,139630336.0,WB,39200000.0,109500000.0
1097,King Arthur: Legend of the Sword,126.0,Drama,6.8,en,King Arthur: Legend of the Sword,21.793000000000006,6.5,2017-05-12,175000000.0,139630336.0,WB,39200000.0,109500000.0
1098,The Best of Me,118.0,Drama,6.7,en,The Best of Me,8.622,7.3,2014-10-17,26000000.0,41059418.0,Rela.,26800000.0,9200000.0
1098,The Best of Me,118.0,Romance,6.7,en,The Best of Me,8.622,7.3,2014-10-17,26000000.0,41059418.0,Rela.,26800000.0,9200000.0
1099,The Neon Demon,117.0,Horror,6.2,en,The Neon Demon,11.787,6.6,2016-06-24,7500000.0,3559803.0,BG,1300000.0,
1099,The Neon Demon,117.0,Thriller,6.2,en,The Neon Demon,11.787,6.6,2016-06-24,7500000.0,3559803.0,BG,1300000.0,
1100,Victor Frankenstein,110.0,Drama,6.0,en,Victor Frankenstein,9.061,5.8,2015-11-25,40000000.0,31124367.0,Fox,5800000.0,28500000.0
1100,Victor Frankenstein,110.0,Horror,6.0,en,Victor Frankenstein,9.061,5.8,2015-11-25,40000000.0,31124367.0,Fox,5800000.0,28500000.0
1100,Victor Frankenstein,110.0,Sci-Fi,6.0,en,Victor Frankenstein,9.061,5.8,2015-11-25,40000000.0,31124367.0,Fox,5800000.0,28500000.0
1102,The Good Dinosaur,93.0,Adventure,6.7,en,The Good Dinosaur,17.675,6.7,2015-11-25,187500000.0,333771037.0,BV,123100000.0,209100000.0
1102,The Good Dinosaur,93.0,Animation,6.7,en,The Good Dinosaur,17.675,6.7,2015-11-25,187500000.0,333771037.0,BV,123100000.0,209100000.0
1102,The Good Dinosaur,93.0,Comedy,6.7,en,The Good Dinosaur,17.675,6.7,2015-11-25,187500000.0,333771037.0,BV,123100000.0,209100000.0
1104,Thor: The Dark World,112.0,Action,6.9,en,Thor: The Dark World,31.014,6.7,2013-11-08,150000000.0,644602516.0,BV,206400000.0,438200000.0
1104,Thor: The Dark World,112.0,Adventure,6.9,en,Thor: The Dark World,31.014,6.7,2013-11-08,150000000.0,644602516.0,BV,206400000.0,438200000.0
1104,Thor: The Dark World,112.0,Fantasy,6.9,en,Thor: The Dark World,31.014,6.7,2013-11-08,150000000.0,644602516.0,BV,206400000.0,438200000.0
1105,Geostorm,109.0,Action,5.3,en,Geostorm,13.653,5.8,2017-10-20,100000000.0,220796009.0,WB,33700000.0,187900000.0
1105,Geostorm,109.0,Sci-Fi,5.3,en,Geostorm,13.653,5.8,2017-10-20,100000000.0,220796009.0,WB,33700000.0,187900000.0
1105,Geostorm,109.0,Thriller,5.3,en,Geostorm,13.653,5.8,2017-10-20,100000000.0,220796009.0,WB,33700000.0,187900000.0
1107,Pitch Perfect,112.0,Comedy,7.2,en,Pitch Perfect,13.886,7.3,2012-09-28,17000000.0,116044347.0,Uni.,65000000.0,50300000.0
1107,Pitch Perfect,112.0,Music,7.2,en,Pitch Perfect,13.886,7.3,2012-09-28,17000000.0,116044347.0,Uni.,65000000.0,50300000.0
1107,Pitch Perfect,112.0,Romance,7.2,en,Pitch Perfect,13.886,7.3,2012-09-28,17000000.0,116044347.0,Uni.,65000000.0,50300000.0
1108,The Angry Birds Movie,97.0,Action,6.3,en,The Angry Birds Movie,17.998,6.0,2016-05-20,73000000.0,352327887.0,Sony,107500000.0,244800000.0
1108,The Angry Birds Movie,97.0,Animation,6.3,en,The Angry Birds Movie,17.998,6.0,2016-05-20,73000000.0,352327887.0,Sony,107500000.0,244800000.0
1108,The Angry Birds Movie,97.0,Comedy,6.3,en,The Angry Birds Movie,17.998,6.0,2016-05-20,73000000.0,352327887.0,Sony,107500000.0,244800000.0
1109,Cloudy with a Chance of Meatballs 2,95.0,Adventure,6.4,en,Cloudy with a Chance of Meatballs 2,18.335,6.4,2013-09-27,78000000.0,274392649.0,Sony,119800000.0,154500000.0
1109,Cloudy with a Chance of Meatballs 2,95.0,Animation,6.4,en,Cloudy with a Chance of Meatballs 2,18.335,6.4,2013-09-27,78000000.0,274392649.0,Sony,119800000.0,154500000.0
1109,Cloudy with a Chance of Meatballs 2,95.0,Comedy,6.4,en,Cloudy with a Chance of Meatballs 2,18.335,6.4,2013-09-27,78000000.0,274392649.0,Sony,119800000.0,154500000.0
1110,Robot & Frank,89.0,Comedy,7.1,en,Robot & Frank,7.485,6.9,2012-08-17,2500000.0,4934356.0,Gold.,3300000.0,
1110,Robot & Frank,89.0,Crime,7.1,en,Robot & Frank,7.485,6.9,2012-08-17,2500000.0,4934356.0,Gold.,3300000.0,
1110,Robot & Frank,89.0,Drama,7.1,en,Robot & Frank,7.485,6.9,2012-08-17,2500000.0,4934356.0,Gold.,3300000.0,
1111,Chernobyl Diaries,86.0,Horror,5.0,en,Chernobyl Diaries,14.658,5.0,2012-05-25,1000000.0,42411721.0,WB,18100000.0,19000000.0
1111,Chernobyl Diaries,86.0,Mystery,5.0,en,Chernobyl Diaries,14.658,5.0,2012-05-25,1000000.0,42411721.0,WB,18100000.0,19000000.0
1111,Chernobyl Diaries,86.0,Thriller,5.0,en,Chernobyl Diaries,14.658,5.0,2012-05-25,1000000.0,42411721.0,WB,18100000.0,19000000.0
1112,Hell Fest,89.0,Horror,5.5,en,Hell Fest,12.955,5.5,2018-09-28,5500000.0,18119231.0,LGF,11100000.0,7100000.0
1113,Machete Kills,107.0,Action,5.6,en,Machete Kills,10.36,5.5,2013-10-11,20000000.0,18273009.0,ORF,8000000.0,7000000.0
1113,Machete Kills,107.0,Crime,5.6,en,Machete Kills,10.36,5.5,2013-10-11,20000000.0,18273009.0,ORF,8000000.0,7000000.0
1113,Machete Kills,107.0,Sci-Fi,5.6,en,Machete Kills,10.36,5.5,2013-10-11,20000000.0,18273009.0,ORF,8000000.0,7000000.0
1114,Neighbors,97.0,Comedy,6.3,en,Neighbors,14.979,6.2,2014-05-09,18000000.0,270944428.0,Uni.,150200000.0,120500000.0
1115,Neighbors,90.0,Comedy,7.6,en,Neighbors,14.979,6.2,2014-05-09,18000000.0,270944428.0,Uni.,150200000.0,120500000.0
1115,Neighbors,90.0,Drama,7.6,en,Neighbors,14.979,6.2,2014-05-09,18000000.0,270944428.0,Uni.,150200000.0,120500000.0
1116,War Dogs,114.0,Comedy,7.1,en,War Dogs,10.654000000000002,6.8,2016-08-19,50000000.0,86234503.0,WB,43000000.0,43200000.0
1116,War Dogs,114.0,Crime,7.1,en,War Dogs,10.654000000000002,6.8,2016-08-19,50000000.0,86234503.0,WB,43000000.0,43200000.0
1116,War Dogs,114.0,Drama,7.1,en,War Dogs,10.654000000000002,6.8,2016-08-19,50000000.0,86234503.0,WB,43000000.0,43200000.0
1117,The 33,127.0,Biography,6.9,en,The 33,9.993,6.2,2015-11-13,25000000.0,28400715.0,WB,12200000.0,12700000.0
1117,The 33,127.0,Drama,6.9,en,The 33,9.993,6.2,2015-11-13,25000000.0,28400715.0,WB,12200000.0,12700000.0
1117,The 33,127.0,History,6.9,en,The 33,9.993,6.2,2015-11-13,25000000.0,28400715.0,WB,12200000.0,12700000.0
1118,Believe,96.0,Drama,5.7,en,Believe,1.327,5.9,2016-12-02,3500000.0,890303.0,ORF,6200000.0,
1118,Believe,96.0,Sport,5.7,en,Believe,1.327,5.9,2016-12-02,3500000.0,890303.0,ORF,6200000.0,
1119,Believe,96.0,Drama,5.7,en,Believe,1.536,6.5,2016-12-02,3500000.0,890303.0,ORF,6200000.0,
1119,Believe,96.0,Sport,5.7,en,Believe,1.536,6.5,2016-12-02,3500000.0,890303.0,ORF,6200000.0,
1120,Believe,119.0,Drama,5.0,en,Believe,1.327,5.9,2016-12-02,3500000.0,890303.0,ORF,6200000.0,
1121,Believe,119.0,Drama,5.0,en,Believe,1.536,6.5,2016-12-02,3500000.0,890303.0,ORF,6200000.0,
