movie_id,primary_title,original_title,start_year,runtime_minutes,genres
tt0965429,l'imbroglio nel lenzuolo,l'imbroglio nel lenzuolo,2010,105,"comedy,romance"
tt0968264,the conspirator,the conspirator,2010,122,"crime,drama,history"
tt0969332,little witch on a broomstick,saxána a lexikon kouzel,2011,90,"animation,comedy,family"
tt0969345,strange frame: love & sax,strange frame: love & sax,2012,98,"animation,crime,music"
tt0969653,white wall,white wall,2010,91,"action,mystery,sci-fi"
tt0970179,hugo,hugo,2011,126,"adventure,drama,family"
tt0970866,little fockers,little fockers,2010,98,"comedy,romance"
tt0970926,the chosen one,the chosen one,2010,101,"comedy,drama"
tt0972544,back roads,back roads,2018,101,"crime,drama,thriller"
tt0972815,have you heard from johannesburg: fair play,have you heard from johannesburg: fair play,2010,96,documentary
tt0972848,lives and deaths of the poets,lives and deaths of the poets,2011,93,comedy
tt0973809,headhunter: the assessment weekend,headhunter: the assessment weekend,2010,93,"action,thriller"
tt0974015,justice league,justice league,2017,120,"action,adventure,fantasy"
tt0974584,black limousine,the land of the astronauts,2010,102,drama
tt0975645,hitchcock,hitchcock,2012,98,"biography,comedy,drama"
tt0975738,sinatra club,sinatra club,2010,88,"action,biography,crime"
tt0977639,boyle heights,boyle heights,2010,101,action
tt0977855,fair game,fair game,2010,108,"biography,drama,thriller"
tt0978764,sucker punch,sucker punch,2011,110,"action,adventure,fantasy"
tt0979434,lottery ticket,lottery ticket,2010,99,comedy
tt0980970,the chronicles of narnia: the voyage of the dawn treader,the chronicles of narnia: the voyage of the dawn treader,2010,113,"adventure,family,fantasy"
tt0981286,funkytown,funkytown,2011,132,"drama,music"
tt0983193,the adventures of tintin,the adventures of tintin,2011,107,"action,adventure,animation"
tt0984084,el padrino ii: border intrusion,el padrino ii: border intrusion,2011,90,crime
tt0984210,multiple sarcasms,multiple sarcasms,2010,97,drama
tt0985694,machete,machete,2010,105,"action,crime,thriller"
tt0988655,a flat,a flat,2010,103,"drama,horror,romance"
tt0988858,the gainesville ripper,the gainesville ripper,2010,90,horror
tt0989757,dear john,dear john,2010,108,"drama,romance,war"
tt0990407,the green hornet,the green hornet,2011,119,"action,comedy,crime"
tt0993842,hanna,hanna,2011,111,"action,drama,thriller"
tt0993846,the wolf of wall street,the wolf of wall street,2013,180,"biography,crime,drama"
tt0995845,the courier,the courier,2012,95,"action,crime,drama"
tt0995867,the unforgiven,the unforgiven,2011,115,drama
tt0995868,pelé: birth of a legend,pelé: birth of a legend,2016,107,"biography,drama,sport"
tt0996958,legend of the red reaper,legend of the red reaper,2013,99,"action,adventure,fantasy"
tt0997035,bibliothèque pascal,bibliothèque pascal,2010,105,drama
tt0997179,looking for the lost tango,stadilaista tangoa etsimässä,2010,90,"documentary,music"
tt0997232,two knives,two knives,2011,107,action
tt0999913,straw dogs,straw dogs,2011,110,"action,drama,thriller"
tt10003978,fiddler: a miracle of miracles,fiddler: a miracle of miracles,2019,92,documentary
tt10004372,soccer in the city,soccer in the city,2019,88,documentary
tt10004396,when i became a butterfly,when i became a butterfly,2019,102,thriller
tt10005688,dhuntaaraa,dhuntaaraa,2015,92,family
tt10006056,la notte è piccola per noi,la notte è piccola per noi,2016,90,drama
tt10008784,bull,bull,2019,105,drama
tt10009030,snatchers,snatchers,2019,96,"comedy,horror,sci-fi"
tt10009978,bigger like me (extended director's cut),bigger like me (extended director's cut),2019,100,documentary
tt10011102,the sholay girl,the sholay girl,2019,106,"action,biography,drama"
tt10011226,17 blocks,17 blocks,2019,96,documentary
tt10011362,"red, white & wasted","red, white & wasted",2019,89,drama
tt10011412,you don't nomi,you don't nomi,2019,92,documentary
tt10011508,trixie mattel: moving parts,trixie mattel: moving parts,2019,91,documentary
tt10011534,pohon terkenal,pohon terkenal,2019,96,drama
tt10011852,saalaiyoram,saalaiyoram,2016,125,drama
tt10014132,jai chhathi maa,jai chhathi maa,2019,141,family
tt10015234,tanri göçmen çocuklari sever mi anne?,tanri göçmen çocuklari sever mi anne?,2019,96,documentary
tt10015248,kader postasi,kader postasi,2019,104,"drama,romance"
tt1001526,megamind,megamind,2010,95,"action,animation,comedy"
tt10015812,death whisper,death whisper,2019,91,horror
tt10016502,back from 2038,back from 2038,2019,88,"comedy,fantasy"
tt10016532,ispade rajavum idhaya raniyum,ispade rajavum idhaya raniyum,2019,141,"drama,romance"
tt10016638,un lien qui nous élève,un lien qui nous élève,2019,88,documentary
tt10017454,the purple mist,the purple mist,2019,106,drama
tt10017510,one family,one family,2018,87,documentary
tt10017566,bikers kental 2,bikers kental 2,2019,94,comedy
tt10017680,p storm,p fung bou,2019,96,"action,crime"
tt10017956,gone kesh,gone kesh,2019,110,drama
tt10018116,stage 3,stage 3,2018,90,action
tt10018386,when the persimmons grew,when the persimmons grew,2019,118,documentary
tt10021622,16 bars,16 bars,2018,94,documentary
tt10021804,ne travaille pas (1968 - 2018),ne travaille pas (1968 - 2018),2018,88,documentary
tt10022384,the protector,the protector,2019,126,romance
tt10022800,a song in the storm,a song in the storm,2018,105,documentary
tt10022858,sucker for love,sucker for love,2019,94,drama
tt10024044,hiwwe wie driwwe - pfälzisch in amerika,hiwwe wie driwwe - pfälzisch in amerika,2019,91,documentary
tt10024716,aghavan,aghavan,2019,158,family
tt1002563,the young messiah,the young messiah,2016,111,"drama,fantasy"
tt1002569,if you only knew,if you only knew,2011,106,drama
tt10025790,machiwarla budha,machiwarla budha,2017,114,drama
tt10026722,1200+ dir,1200+ dir,2018,89,documentary
tt10026730,eleições,eleições,2019,100,documentary
tt10027696,patterns of evidence: the moses controversy,patterns of evidence: the moses controversy,2019,140,documentary
tt10027708,miguelito,miguelito - canto a borinquen,2019,94,"documentary,music"
tt10027848,the road to hippie,the road to hippie,2019,90,comedy
tt10028030,nagarsevak - ek nayak,nagarsevak - ek nayak,2017,120,action
tt10033760,pahil paul jivanch,pahil paul jivanch,2017,122,drama
