movie_id,person_id,primary_name,birth_year,primary_profession
tt2779998,nm0851522,Gilles Taurand,1943,"writer,actor,miscellaneous"
tt3230092,nm0851522,Gilles Taurand,1943,"writer,actor,miscellaneous"
tt5096536,nm0851522,Gilles Taurand,1943,"writer,actor,miscellaneous"
tt2130125,nm0851522,Gilles Taurand,1943,"writer,actor,miscellaneous"
tt2062969,nm0851522,Gilles Taurand,1943,"writer,actor,miscellaneous"
tt4428740,nm0851522,Gilles Taurand,1943,"writer,actor,miscellaneous"
tt1261954,nm0415382,Sam Jaeger,1977,"actor,writer,director"
tt1270798,nm1005420,Ashley Miller,1971,"miscellaneous,producer,writer"
tt0800369,nm1005420,Ashley Miller,1971,"miscellaneous,producer,writer"
tt1270798,nm0001741,Bryan Singer,1965,"producer,director,writer"
tt3385516,nm0001741,Bryan Singer,1965,"producer,director,writer"
tt1291652,nm1174251,Daniel Espinosa,1977,"director,producer,writer"
tt1295075,nm0563760,Laura Mañá,1968,"actress,director,writer"
tt1563675,nm0563760,Laura Mañá,1968,"actress,director,writer"
tt1302006,nm0001873,Steven Zaillian,1953,"writer,producer,director"
tt1210166,nm0001873,Steven Zaillian,1953,"writer,producer,director"
tt1568346,nm0001873,Steven Zaillian,1953,"writer,producer,director"
tt1528100,nm0001873,Steven Zaillian,1953,"writer,producer,director"
tt1320334,nm1915955,Tim Doiron,1979,"writer,actor,producer"
tt1989485,nm1915955,Tim Doiron,1979,"writer,actor,producer"
tt3465074,nm1915955,Tim Doiron,1979,"writer,actor,producer"
tt1322393,nm0778931,Carey Scott,1965,"actor,miscellaneous,director"
tt1329417,nm1751754,Christian Bunz,1977,"director,writer,cinematographer"
tt1371155,nm0412470,William Ivory,1964,"actor,writer,producer"
tt2075121,nm0412470,William Ivory,1964,"actor,writer,producer"
tt1372680,nm1692270,Morgan Krantz,1986,"actor,writer,miscellaneous"
tt3446062,nm1692270,Morgan Krantz,1986,"actor,writer,miscellaneous"
tt1376404,nm0820787,Stuart St. Paul,1954,"stunts,writer,actor"
tt2363115,nm0820787,Stuart St. Paul,1954,"stunts,writer,actor"
tt1408253,nm0177637,Greg Coolidge,1972,"writer,producer,actor"
tt2869728,nm0177637,Greg Coolidge,1972,"writer,producer,actor"
tt1408253,nm1727621,Jason Mantzoukas,1972,"actor,producer,writer"
tt1411762,nm3404409,Matthew F. Perry,1983,"camera_department,miscellaneous,writer"
tt2896502,nm3404409,Matthew F. Perry,1983,"camera_department,miscellaneous,writer"
tt1429411,nm1190295,Stokes McIntyre,1972,"director,writer,producer"
tt1430625,nm0041194,Margaret Atwood,1939,"producer,writer,actress"
tt1560747,nm0000759,Paul Thomas Anderson,1970,"director,writer,producer"
tt5776858,nm0000759,Paul Thomas Anderson,1970,"director,writer,producer"
tt1791528,nm0000759,Paul Thomas Anderson,1970,"director,writer,producer"
tt1562867,nm0875489,Yasutaka Tsutsui,1934,"writer,actor,composer"
tt1614408,nm0875489,Yasutaka Tsutsui,1934,"writer,actor,composer"
tt1563137,nm0520265,Rodrigo Lopresti,1976,"actor,producer,director"
tt1563776,nm0951970,Oliver Zahle,1969,"writer,director,actor"
tt1564915,nm3741078,Evan Marshall,1956,"actor,writer"
tt1568338,nm0271854,Pablo F. Fenjves,1956,"writer,producer"
tt1571219,nm2567155,Giuseppe Gagliardi,1977,"director,writer"
tt1571219,nm2827922,Stefano Sardo,1972,"writer,actor,soundtrack"
tt2645124,nm2827922,Stefano Sardo,1972,"writer,actor,soundtrack"
tt5981944,nm2827922,Stefano Sardo,1972,"writer,actor,soundtrack"
tt1980306,nm2827922,Stefano Sardo,1972,"writer,actor,soundtrack"
tt4711924,nm2827922,Stefano Sardo,1972,"writer,actor,soundtrack"
tt3078296,nm2827922,Stefano Sardo,1972,"writer,actor,soundtrack"
tt3923572,nm2827922,Stefano Sardo,1972,"writer,actor,soundtrack"
tt1571219,nm2500207,Roberto Saviano,1979,"writer,producer"
tt8740778,nm2500207,Roberto Saviano,1979,"writer,producer"
tt1576440,nm0862932,Jacob Tierney,1979,"actor,director,writer"
tt4042818,nm0862932,Jacob Tierney,1979,"actor,director,writer"
tt1581835,nm0862932,Jacob Tierney,1979,"actor,director,writer"
tt1576440,nm1131990,Chrystine Brouillet,1958,writer
tt1585997,nm2911850,Morgan Muscat,1980,"miscellaneous,producer,actor"
tt1587668,nm0826083,Gert Steinheimer,1944,"writer,director"
tt1591496,nm1206061,Charles Johnston,1971,"miscellaneous,writer,camera_department"
tt5889372,nm1206061,Charles Johnston,1971,"miscellaneous,writer,camera_department"
tt1591496,nm0341966,Wayne Grigsby,1947,"writer,producer,miscellaneous"
tt1592265,nm3677872,Carter,1970,"director,writer,actor"
tt1592556,nm0821526,Simon Staho,1972,"director,writer"
tt1883179,nm0821526,Simon Staho,1972,"director,writer"
tt1598691,nm3798130,B.J. Stack IV,1983,"writer,director,actor"
tt2094829,nm3798130,B.J. Stack IV,1983,"writer,director,actor"
tt1609132,nm0519620,Tessa de Loo,1947,writer
tt1609132,nm0688745,Marieke van der Pol,1953,"actress,writer,sound_department"
tt4610378,nm0688745,Marieke van der Pol,1953,"actress,writer,sound_department"
tt1617207,nm1151803,Michal J. Zablocki,1950,"production_manager,writer,producer"
tt1622560,nm3358216,Danny Willis,1982,"actor,writer,producer"
tt1627056,nm0412838,Kazuyuki Izutsu,1952,"director,writer,actor"
tt2271519,nm0412838,Kazuyuki Izutsu,1952,"director,writer,actor"
tt1634800,nm1847615,Carlos Atanes,1971,"director,writer,editor"
tt2187312,nm1847615,Carlos Atanes,1971,"director,writer,editor"
tt1640218,nm1726021,Ryan McCoy,1980,"writer,producer,director"
tt1641841,nm0000185,Dolph Lundgren,1957,"actor,producer,director"
tt1641841,nm1907744,Gabriel Dowrick,1983,"editor,director,writer"
tt3399896,nm1907744,Gabriel Dowrick,1983,"editor,director,writer"
tt1642005,nm3899612,David Ludlow,1988,"actor,director,writer"
tt1648092,nm0129435,Pedro Caldas,1958,"sound_department,director,producer"
tt1649004,nm0455203,Rob W. King,1959,"director,writer,producer"
tt2249167,nm0455203,Rob W. King,1959,"director,writer,producer"
